Наименование;Цена;Размеры;Ссылка;Описание;Фото
Модель П-0042;1300 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0042;Праздничное платье из трикотажного полотна с вискозой и эластаном. Тонкое полотно с гладкой лицевой поверхностью. Платье полуприлегающего силуэта. Рукав «летучая мышь» на манжете. Сзади по среднему шву шлица. По горловине переда металлическая брошь со стразами. Длина рукава 49 см. Длина изделия по спинке 103 см.;
Модель П-0039;1200 р.;52-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0039;Трикотажное платье, полуприлегающего силуэта цвета электрик. По переду рельефы с отрезными бочками, в которых расположен карман с листочкой. По среднему шву спинки шлица. Рукав втачной, три четверти. Длина рукава 46 см. Длина изделия по спинке 103 см.;
Модель П-0037;1200 р.;52-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0037;Женское праздничное платье полуприлегающего силуэта из фактурного трикотажа бирюза на синем. По горловине выполнена декоративная кокетка на которой имеется декоративная брошь со стразами. По среднему шву спинки шлица. Приталивание платья достигается за счет таливых вытачек на спинке. Рукав три четверти. Длина рукава 46 см. Длина изделия 102 см.;
Модель П-0035;1200 р.;52-62;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0035;Женское платье из фактурного трикотажа праздничный принт на синем. Платье отрезное по переду с удобными карманами. Сзади по среднему шву шлица. Рукав три четверти. Длина рукава 43 см. Длина изделия по спинке 102 см.;
Модель П-0033;1200 р. ;56-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-p-0033;Платье из вискозного трикотажа горчичный принт на синем. По переду платья отрезная кокетка, которая подчеркивается однотонным кантом. По горловине декоративная брошь со стразами. По переду платья выполнены удобные карманы. Рукав три четверти, заканчивается манжетой. Длина рукава 44 см. Длина изделия по спинке 102 см.;
Модель ПБ-0024;1350 р.;56-66;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0024;Трикотажное платье полуприлегающего силуэта с набивным рисунком изумрудные цветы на черном. По переду платья карманы. Рукав 3/4. длина рукава - 44 см. Длина изделия по спинке: размер 56,58,60 - 98см., размер 62,64,66 - 101см.;
Модель ПБ-0020;1300 р.;52-60;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0020;Офисное классическое платье полуприлегающего силуэта из трикотажного жаккарда. Рукав втачной, низ обработан манжетой. По переду рельефы, которые подчеркивают силуэт. Длина рукава 44 см. Длина изделия по спинке: размер 52,54,56,58 - 96см., размер 60,62 - 98см., размер 64,66 - 100см.;
Модель ПБ-0017;1300 р.;50-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0017;Платье полуприлегающего силуэта из костюмной ткани глубокого синего цвета. Рукав реглан, заканчивается манжетом с застежкой на петлю и пуговицу. По переду застежка до талии на петли и пуговицы. По горловине изделия отложной воротник на стойке. В боковых швах карманы. Платье с поясом, по спинке средний шов со шлицей. Длина рукава с плечом 56см. Длина изделия по спинке: размер 50,52,54,56 - 99см., размер 58,60 - 101см., размер 62,64 - 103см.;
Модель ПБ-0016;1300 р.;50-64;http://krassa-nsk.ru/platja-bolshih-razmerov/zhenskoe-platja-мodel-pb-0016;Платье полуприлегающего силуэта из костюмной ткани цвета горчицы. Рукав реглан, заканчивается манжетом с застежкой на петлю и пуговицу. По переду застежка до талии на петли и пуговицы. По горловине изделия отложной воротник на стойке. В боковых швах карманы. Платье с поясом, по спинке средний шов со шлицей. Длина рукава с плечом 56см. Длина изделия по спинке: размер 50,52,54,56 - 99см., размер 58,60 - 101см., размер 62,64 - 103см.;
Модель П-0013;1100 р.;46-56;http://krassa-nsk.ru/platja/zhenskoe-platja-мodel-p-0013;Трикотажное платье прилегающего силуэта из структурированного трикотажа бежевый орнамент на синем. Рукав 3/4. Длина изделия по спинке – 97 см, длина рукава  - 43 см.;
